lang,source,translation
xas,măn dĭm sürerluʔpiem: ,я его прогнала.
xas,"bʼeʔ (sojp-) sejʔpü oldʼa, a kajzittə naga. ","семнадцать одежек, а застегнуть нечем."
bak,"häm unan huŋ taɣə =la törlö mönäžättär höjläp, ajattar uqəp, ülelärgä doɣa qələp, bajramdə šul köndä dawam... tamamlajbəð.","и после этого еще исполнили разные эпические песни, прочитали цитаты из корана, помолились за умерших, и праздник в этот день мы продол... закончили."
mhr,"шылшым ашна гын,","если прячет дезертира,"
bak,läkin bötä versijalarðəŋ =da berehe =lä tura kilmäj bašlaj.,"но из всех версий ни одна не соответствует (букв. ""начинает не соответствовать"")."
kjh,"«но я» гы…  теем «закрываю всё» теем, «не знаю, кто воровал».","«но я» говорю, сказала, «закрываю всё» сказала, «не знаю, кто воровал»."
mhr,"что только ни делали,","что только ни делали,"
xas,"""urgajanə, dĭ ĭzemneʔbə"". ","""к бабушке, она больна""."
kjh,"а мында вот минің аалда исчем, что мында, ну, тағлар аразында казановка нізе и аңӌыл чол, мында… тағ ээзілері…","а вот я у себя слышала, что здесь среди гор около казановки и анчыл чола хозяева гор…"
kjh,"анаң техника полғанда, пола-пола мин позым техникке кір сыххам.","когда появилась техника, я тоже начала учиться технике (букв. входить в технику) ."
mhr,[2] ватыже?,[2] жена?
xas,nuzaŋ bar amnolaʔpiʔi. ,камасинцы жили.
xas,"""nu dăk, (tăn=) tăn sudʼbal, it măna!"" ","""ну так это твоя судьба, возьми меня""."
mhr,"ольошын пӧрт, вӱтаже чисти лаптырген.","у алексея дом, хлев совсем осели."
evn,"участок, ну на двоих, ну, дюкчан... дюкчадӯ.","участок, ну, на двоих, двоим."
kjh,"хысха кис салза, ипчілер «кӧңнектерің тартыныңар, тізектерің кӧрінче» тіп, бабушкалар хырызыпчан молған.","если коротко надевали, женщины «платья подтяните, колени видно», бабушки ругали."
xas,"măn abam, tăn abal dʼabrolaʔi. ",мой отец с твоим отцом ругаются.
mhr,фельдшерский школышкет тунемаш пуренам.,в фельдшерскую школу учиться поступила.
kjh,"[evs1979f] а-а, пазын?","[evs1979f] а-а, голову?"
kjh,"[egs1982f] а кстати, ол иней паары тіп мин… пу иней ис… ол тағды искем.","[egs1982f] кстати, об этой иней пары я вот что слышала."
kjh,[zgb1935f] а... а хайдары?,[zgb1935f] а куда?
kjh,"ник тутчатхан кізілер, сÿт тамағынаң чуртаӌабыс піс.","люди коров держали, молочными продуктами питались и жили мы."
bak,"jetmähä ber keše =lä, ber mašina =la qaršə =la səqmanə.","к тому же навстречу не вышел ни один человек, ни одна машина."
mhr,"тӱжӧ имне вак шинчаш ок лий,","на жерёбую лошадь нельзя садиться,"
kjh,"[tna1930f] ну, так, семь внук мында.",
mhr,<после>,после
mhr,[15] а-а=.,[15] а-а=.
kjh,"хада парып кип-азах ал пиребіс тіп  чоохтаабыс, ибзер ахчаны пирбе.","ну сейчас, мол…"
mhr,"уло ял калык,","вся деревня,"
kjh,ам клара анда хазых полған.,и клара там живая была.
bak,elek min mexanizator buləp ešlänem.,раньше я работал механизатором.
kjh,пір кӱнге пір стакан чарба.,в день по одному стакану крупы.
kjh,"анаң аны аттаңох чыып, анаң холдаң <тоғылахтаӌаңнар> піди, молотить полӌалар.","потом это на лошадях собирали, потом вручную собирали в снопы, потом молотили."
evn,идӯ нуӈан уринэрэн.,«где он остановился?»
bak,"ä xäðer tege kafelä jəjələp ütkärälär =ðä, bötähe =lä ber köndä, ešlängäne ešlänä =lä, ešlänmägäne juq inde.","а сейчас вот в кафе собравшись проводят, все в один день, что делается, то делается, что не делается, то нет."
evn,бултарэв тариӈӈар.,добыли его.
evn,****,****
evn,совhозтӯ hавалчав дыгин аӈанӣвэ.,всовхозе работал четыре года.
xas,dĭgəttə šobi šedendə. ,потом прилетел в загон.
xas,"dĭ uge mandolaʔbə, šində bi̮ ej tojirbi, ej kunollaʔbə, ej amnia. ","он всё время смотрит, как бы кто [их] не украл, не спит, не ест."
xas,šide bʼeʔ sumna. ,двадцать пять.
kjh,"ам на чуртаазар, я?","сейчас только стали жить, да?"
xas,šobiʔi dibər. ,приехали туда.
mhr,"[14] вон, сегодня к бабушке-то ходили, они там жили.","[14] вон, сегодня к бабушке-то ходили, они там жили."
kjh,"іӌем ӧрекен ол времяде чиит полған, абам чааға парыбысхан.","мать-старушка моя в то время была молодая была, отец ушел на войну."
