id,lang,source,translation
8359,mhr,ынде мӧҥгӧ толын шуыт.,уже дошли до дома.
8360,xas,dĭttə bile. ,потом плохо.
8361,xas,"ĭmbi šaːmnaʔbəl, ej (sĭ- sĭr-) ej (sĭr-) sĭriel? ","зачем ты врешь, ты не (…)."
8362,xas,(kudaj) tănziʔ kandəga. ,бог идет с тобой.
8363,kjh,"«тадар кізілердең, піди ибіӌексе кірзе, арғамӌы полза, арғамӌыларын пылас парыбызып, <?> кирек пірее ортаза… мал орта пол парза, малларын соххлап парыбысчан полтырлар» тіпче.","«у хакасов, так войдя в юрту, если есть верёвка, верёвку отобрав, <?> если надо некоторый прямо, если скот встретится, скотину заколов, уезжали» говорит."
8364,kjh,"«а паза чылдаң позым наа чылда чир таллап аларбын, пеер алдыра кӱстенмессім» тіп.","«а со следующего года сам в новом году землю выберу, сюда не буду стараться»."
8365,mhr,"[15] кумалтышым ышташ,","[15] на моленье,"
8366,xas,dĭʔnə (bʼeʔ š -) bʼeʔ šide pʼe i iššo šide. ,ей двадцать два года.
8367,kjh,"кӧп тее полбаза, пір хырыхча ибе полған полар.","даже если не много, около сорока домов было, наверно."
8368,kjh,а уголь чоғыл вроде.,а угля нет вроде.
8369,kjh,андары обрыв прямо.,туда обрыв прямо.
8370,mhr,"[8] ни разу не делала, не знаю.","[8] ни разу не делала, не знаю."
8371,xas,"dĭgəttə paʔi ambiʔi, štobi̮ šünə šindidə ej (š-) saʔməbi. ","потом они клали(?) дрова, чтобы в огонь никто не упал."
8372,xas,da bar nereʔluʔpiʔi. ,но испугались.
8373,kjh,пулар ам мында парчан сіміске лохс сістер одырча.,эти теперь здесь везде похожие на прыщи нарывы сидят.
8374,xas,dĭgəttə kašelʼ šobi. ,потом начался кашель.
8375,mhr,в= вара мый вурсем:,потом я ругаю:
8376,evn,доӈототчэнэ.,замерзает.
8377,xas,bar koʔbsaŋ tănan (могут -) (pănarləʔi) bar. ,все девушки будут тебя целовать(?).
8378,kjh,"а вот киртін киртінме, мындағ име полған имелерде хайди…","а вот верь не верь, такое было в этих, как…"
8379,xas,dĭgəttə dĭ nüke baška koʔbdobə öʔleʔbə. ,потом эта женщина посылает другую дочь.
8380,xas,a moʔ (nĭn) măna iləl? ,а почему ты (…) у меня взял?
8381,kjh,хайдағ ниме кирек полған?,чего им надо было?
8382,mhr,[2] в школу?,[2] в школу?
8383,evn,****,****
8384,evn,потом эмэрэ.,потом они пришли.
8385,xas,dĭgəttə šobiʔi. ,потом он вошли.
8386,xas,"šalaʔjə, ej, ej dʼapi. ","они прячутся, не поймали [его?]."
8387,mhr,агрошколышкет пурен тудо ийынак.,в агрошколу поступила в том же году.
8388,bak,atajðar iptäštäre menän bergä ös hunarsə urmanɣa səɣəp.,"папа вместе с друзьями, три охотника, пошли в лес..."
8389,kjh,"ағырып, иттерімӌе прай имелер сыххлабысхан.","когда заболела, по всему телу эти повыскакивали."
8390,xas,dĭgəttə onʼiʔ (onʼiʔtə bar nuʔ (n-) nʼotlaʔbə. ,потом они (…) друг другу.
8391,mhr,витле кум ийыш тошкалынам.,пятьдесят третий год идёт.
8392,bak,läkin aj ber nämä =lä öndäšmägän.,но луна ничего не сказала.
8393,bak,eškä urənlaša häm šunda ul jäš qəð ɣašiq bula.,"ну, дальше, устроилась на работу и тут она, молодая девушка, влюбляется."
8394,xas,(ugandə) ,очень… (?)
8395,xas,"măn parbiam (baltu) ibiem, baltuzi jaʔpiam, jaʔpiam bar sĭre. ","я вернулась, взяла топор и топором рубила-рубила снег."
8396,bak,"šunan ber að jebetep ultərtəp qujɣas, unə šəttərərɣa qujɣandar.","потом, несколько увлажнив, его ставят проращивать."
8397,xas,"urgaːba šobi, dĭ nĭŋgəbi. ","пришёл медведь, вырвал её."
8398,evn,"мирисо̄н нуңан аминдӯф, иландяр аңаниси бинэ.
				","она вышла замуж за моего отца, будучи тридцатилетней."
8399,xas,"i kĭškit, sĭre molal. ",и вытри станешь белым [=чистым].
8400,bak,"häm ular jəjələp kilep, äbjälilgä äjtkändär: ""šul aždahanə hin jeŋä almaθhəŋ mikän, kül äräm bula bit"" tip.","и они собрались, пришли и сказали абзелилу: ""не сможешь ли победить этого дракона, озеро пропадает?"
8401,xas,"i tăn nuʔməluʔləl"". ",и ты убежишь».
8402,mhr,"давай, мо ден кондена?»",на чём повезём?»
8403,kjh,синзер тіпчезер.,? рассказываете.
8404,mhr,"медпункт — деревянный шӱкшӱ пӧрт, туштак мо... медпункт кудвечыштак мо…","медпункт — деревянный старый дом, там же, во дворе медпункта, это…"
8405,kjh,аның фамилиязы султреков.,его фамилия султреков.
8406,kjh,"анаң от име тастабысса, пис августта, рожь салған, рожьты кисчебіс пурнада.","потом, сено сметав, пятого августа, рожь посеянную, рожь жнем сначала."
8407,mhr,[15] чодыраште...,[15] в лесу...
8408,kjh,[evs1979f] кем ол?,[evs1979f] кто это?
8409,kjh,"[evs1979f] а сабын чох полған, наверно.","[evs1979f] а мыла не было, наверно."
8410,kjh,"«анда, если экскурсияа килзе, ӧнетін кізілер, ол, име, ал чӧріп, ол, име, хоостардаңар тылаастар чоохтир» тіп.","«там, когда на экскурсию будут приезжать, специальные люди, проводя экскурсии, об этих рисунках истории будут рассказывать»."
8411,xas,"bădaʔ măna šüjöndə"", dĭ băʔpi. ","""полезай(?) ко мне за пазуху"". он (?)."
8412,mhr,оксала ышташ тӱҥалынна ыле.,только начали работать за деньги.
